,EntryYear,Rut,Campus,PostulationType,NEMScr,Ranking,LangScr,MathScr,ScienScr,SchoolRegion,EdTypeCode,SchoolType,MotherEd
count,537.0,537.0,537,537,522.0,529.0,523.0,523.0,519.0,532,533,532,352.0
unique,,,3,2,,,,,,23,6,6,
top,,,Stgo,REGULAR,,,,,,RM,H1,Particular Subvencionado,
freq,,,244,506,,,,,,215,494,322,
mean,2015.513966480447,19353969.27932961,,,524.2681992337165,527.2684310018903,543.0917782026769,595.8527724665392,517.6146435452794,,,,6.46875
std,0.5002709180150858,643105.6772748342,,,88.93086935478723,127.11519384125067,65.35127003732171,53.778238834902,146.47742145978617,,,,3.1204026011337693
min,2015.0,14784994.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0
25%,2015.0,19185662.0,,,476.0,472.0,505.0,565.0,509.0,,,,5.0
50%,2016.0,19475212.0,,,523.0,525.0,543.0,597.0,554.0,,,,5.0
75%,2016.0,19643494.0,,,579.0,595.0,582.0,624.0,587.0,,,,9.0
max,2016.0,23801167.0,,,807.0,850.0,746.0,762.0,696.0,,,,13.0
